date,value,up&down,10,20,30,60
2023-03-24,0.8936,0.1,0.8847099999999999,0.903105,0.9165966666666666,0.9035066666666668
2023-03-27,0.8848,-0.98,0.8826499999999999,0.900785,0.9144366666666668,0.9039683333333334
2023-03-28,0.9027,2.02,0.8833599999999999,0.8993499999999999,0.9130433333333332,0.9049066666666666
2023-03-29,0.9116,0.99,0.8861799999999999,0.8979299999999999,0.9119366666666668,0.9057833333333332
2023-03-30,0.9222,1.16,0.89009,0.897125,0.91097,0.9068933333333332
2023-03-31,0.9199,-0.25,0.8952199999999999,0.89652,0.9102833333333332,0.9081233333333334
2023-04-03,0.9155,-0.48,0.9009,0.895755,0.9088366666666666,0.9091816666666668
2023-04-04,0.9248,1.02,0.90495,0.896265,0.9081133333333332,0.9106466666666666
2023-04-06,0.9052,-2.12,0.9073,0.8961399999999999,0.9068066666666664,0.9117483333333332
2023-04-07,0.8983,-0.76,0.90786,0.8959999999999999,0.9055866666666668,0.912065
2023-04-10,0.8865,-1.31,0.90715,0.8959300000000001,0.9044533333333332,0.9122016666666668
2023-04-11,0.8677,-2.12,0.90544,0.894045,0.9023366666666666,0.9116366666666668
2023-04-12,0.8459,-2.51,0.89976,0.8915599999999999,0.8994866666666665,0.9106316666666668
2023-04-13,0.8546,1.03,0.89406,0.8901199999999999,0.89664,0.9098683333333334
2023-04-14,0.8428,-1.38,0.88612,0.888105,0.8934566666666667,0.9090183333333334
2023-04-17,0.856,1.57,0.87973,0.887475,0.8909233333333333,0.9079533333333332
2023-04-18,0.8574,0.16,0.87392,0.8874099999999998,0.8884766666666667,0.9066066666666668
2023-04-19,0.8517,-0.66,0.86661,0.8857799999999999,0.8863800000000001,0.9053933333333332
2023-04-20,0.8399,-1.39,0.86008,0.88369,0.88412,0.9041116666666666
2023-04-21,0.8334,-0.77,0.85359,0.880725,0.8818633333333333,0.9027816666666668
2023-04-24,0.8185,-1.79,0.84679,0.87697,0.8795499999999999,0.9012566666666668
2023-04-25,0.8313,1.56,0.84315,0.874295,0.87708,0.8996883333333334
2023-04-26,0.8325,0.14,0.84181,0.870785,0.8749766666666667,0.898595
2023-04-27,0.8335,0.12,0.8397,0.8668800000000001,0.8733133333333333,0.8974166666666666
2023-04-28,0.8391,0.67,0.83933,0.862725,0.8718466666666667,0.8961666666666667
2023-05-04,0.8295,-1.14,0.83668,0.8582050000000001,0.8705433333333333,0.894885
2023-05-05,0.8383,1.06,0.83477,0.854345,0.8698633333333333,0.89401
2023-05-08,0.8254,-1.54,0.8321400000000001,0.849375,0.8679,0.8929483333333333
2023-05-09,0.8272,0.22,0.83087,0.8454750000000001,0.8660833333333333,0.8920216666666666
2023-05-10,0.8196,-0.92,0.8294900000000001,0.84154,0.8636466666666667,0.890495
2023-05-11,0.8156,-0.49,0.8291999999999999,0.8379949999999999,0.8610466666666667,0.8888216666666666
2023-05-12,0.8046,-1.35,0.82653,0.83484,0.8583733333333333,0.886405
